"删维组别","样例编号","是否还能唯一归类","候选场景集合"
"去掉资源所处状态后的判定结果","EX075","是","S4"
"去掉隔离跨越度后的判定结果","EX075","否","S2|S4"
"去掉触发位置边界后的判定结果","EX076","否","S2|S4"
"去掉资源所处状态后的判定结果","EX076","是","S4"
"去掉隔离跨越度后的判定结果","EX076","否","S2|S4"
"去掉触发位置边界后的判定结果","EX077","否","S2|S4"
"去掉资源所处状态后的判定结果","EX077","是","S4"
"去掉隔离跨越度后的判定结果","EX077","否","S2|S4"
"去掉触发位置边界后的判定结果","EX078","是","S2"
"去掉资源所处状态后的判定结果","EX078","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX078","否","S1|S2"
"去掉触发位置边界后的判定结果","EX079","是","S2"
"去掉资源所处状态后的判定结果","EX079","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX079","否","S1|S2"
"去掉触发位置边界后的判定结果","EX080","是","S2"
"去掉资源所处状态后的判定结果","EX080","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX080","否","S1|S2"
"去掉触发位置边界后的判定结果","EX081","是","S2"
"去掉资源所处状态后的判定结果","EX081","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX081","否","S1|S2"
"去掉触发位置边界后的判定结果","EX082","是","S2"
"去掉资源所处状态后的判定结果","EX082","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX082","否","S1|S2"
"去掉触发位置边界后的判定结果","EX083","是","S2"
"去掉资源所处状态后的判定结果","EX083","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX083","否","S1|S2"
"去掉触发位置边界后的判定结果","EX084","是","S2"
"去掉资源所处状态后的判定结果","EX084","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX084","否","S1|S2"
"去掉触发位置边界后的判定结果","EX085","是","S2"
"去掉资源所处状态后的判定结果","EX085","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX085","否","S1|S2"
"去掉触发位置边界后的判定结果","EX086","是","S2"
"去掉资源所处状态后的判定结果","EX086","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX086","否","S1|S2"
"去掉触发位置边界后的判定结果","EX087","是","S2"
"去掉资源所处状态后的判定结果","EX087","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX087","否","S1|S2"
"去掉触发位置边界后的判定结果","EX088","是","S2"
